timestamp,percentage change,gain,loss,RSI
2016-08-05,0.05961935335931917,0.05961935335931917,0,53.67448049522513
2016-08-04,-0.8113942616188561,0,0.8113942616188561,41.41016478794902
2016-08-03,-0.10614126815941237,0,0.10614126815941237,31.26797918141375
2016-08-02,-0.29179387547413893,0,0.29179387547413893,30.454973944616796
2016-08-01,0.6452355193153045,0.6452355193153045,0,41.23038511155744
2016-07-29,0.08297225039181655,0.08297225039181655,0,40.31444092345437
2016-07-28,-0.1612011790714786,0,0.1612011790714786,40.94485879632257
2016-07-27,-0.11532961203118512,0,0.11532961203118512,41.69821847611107
2016-07-26,0.10622575281728698,0.10622575281728698,0,34.87852292230056
2016-07-25,-0.04613610149942068,0,0.04613610149942068,37.44360737892869
2016-07-22,0.2723286406646681,0.2723286406646681,0,40.78709185898877
2016-07-21,-0.4488123734119051,0,0.4488123734119051,40.94189976873137
2016-07-20,0.37916445102074847,0.37916445102074847,0,43.10018091663205
2016-07-19,-0.41228090379344967,0,0.41228090379344967,39.240644401881156
2016-07-18,0.10139229381562548,0.10139229381562548,0,39.87829175751045
2016-07-15,-0.2676411169210856,0,0.2676411169210856,46.1878993303477
2016-07-14,0.13436500949821248,0.13436500949821248,0,49.68958159600913
2016-07-13,-0.5552470849528119,0,0.5552470849528119,46.178392481502286
2016-07-12,0.013958682300391372,0.013958682300391372,0,35.20786428727544
2016-07-11,-0.721097929751097,0,0.721097929751097,26.971512080300272
2016-07-08,-0.3514526710402999,0,0.3514526710402999,25.664300645008026
2016-07-07,-1.4690806489536774,0,1.4690806489536774,19.083155558047736
2016-07-06,0.06395387684582636,0.06395387684582636,0,18.430002143778637
2016-07-05,-0.5962033768959267,0,0.5962033768959267,16.678182937262406
2016-07-01,0.7249172304591994,0.7249172304591994,0,22.721951640626912
2016-06-30,-0.21236580653275888,0,0.21236580653275888,23.616907345190384
2016-06-29,-1.3438357799260046,0,1.3438357799260046,14.905540113068525
2016-06-28,-1.674392722345877,0,1.674392722345877,12.619674103900493
2016-06-27,-1.7715085209279409,0,1.7715085209279409,9.466594570597394
2016-06-24,1.768537074148297,1.768537074148297,0,23.732582319366145
2016-06-23,3.7808300103382106,3.7808300103382106,0,42.214633222383384
2016-06-22,-1.2855177648119198,0,1.2855177648119198,40.260723431677576
2016-06-21,0.16338298894762296,0.16338298894762296,0,40.821184106039006
2016-06-20,-0.28305507580119144,0,0.28305507580119144,41.97564141494979
2016-06-17,-0.639884532114498,0,0.639884532114498,41.20827402993538
2016-06-16,0.8957970172380372,0.8957970172380372,0,48.653839491747
2016-06-15,-0.2975476316168376,0,0.2975476316168376,47.50337447179959
2016-06-14,0.13959085439229463,0.13959085439229463,0,49.88301088997262
2016-06-13,0.19669294366467913,0.19669294366467913,0,48.05134112808817
2016-06-10,0.7775515569261012,0.7775515569261012,0,51.420418437975826
2016-06-09,0.9568239158375872,0.9568239158375872,0,59.320207515101146
2016-06-08,0.13674085250848358,0.13674085250848358,0,67.33091723838885
2016-06-07,-0.32490464754908777,0,0.32490464754908777,75.69378859473062
2016-06-06,-0.15589569160998323,0,0.15589569160998323,70.23379308070825
2016-06-03,-0.506269221670212,0,0.506269221670212,48.32465972088121
2016-06-02,0.299600532623167,0.299600532623167,0,61.7655493568973
2016-06-01,-0.30344696790099396,0,0.30344696790099396,57.539937836570424
2016-05-31,-0.2044989775051157,0,0.2044989775051157,58.31456045255698
2016-05-27,0.19062142584826805,0.19062142584826805,0,66.71799016390707
2016-05-26,-0.4280821917808246,0,0.4280821917808246,54.8490323142931
2016-05-25,-0.028661507595300596,0,0.028661507595300596,58.02109818577839
2016-05-24,-0.6737385321100902,0,0.6737385321100902,49.3492222116711
2016-05-23,-1.2796459325539984,0,1.2796459325539984,37.68204075380902
2016-05-20,0.13644559232006293,0.13644559232006293,0,30.579863859322586
2016-05-19,-0.6277677745875812,0,0.6277677745875812,14.413940720833594
2016-05-18,0.3476983349657238,0.3476983349657238,0,17.69233374792583
2016-05-17,-0.02889073251671668,0,0.02889073251671668,18.697306354591092
2016-05-16,0.9417585872254386,0.9417585872254386,0,31.950710616234062
2016-05-13,-0.9768836444530468,0,0.9768836444530468,29.625870173087122
2016-05-12,0.879077944911121,0.879077944911121,0,35.4125817233285
2016-05-11,-0.029047250193649433,0,0.029047250193649433,36.84731713380157
2016-05-10,0.9443099273607694,0.9443099273607694,0,45.78838698620395
2016-05-09,-1.228496042216359,0,1.228496042216359,38.001156291637514
2016-05-06,-0.08218012406672587,0,0.08218012406672587,39.603266747895525
2016-05-05,-0.364573206299825,0,0.364573206299825,38.04560860338115
2016-05-04,0.01951505098306681,0.01951505098306681,0,41.44921601676072
2016-05-03,0.5605580215599276,0.5605580215599276,0,53.428985739259694
2016-05-02,0.8783503234393617,0.8783503234393617,0,57.79752645655313
2016-04-29,-0.7881906044140925,0,0.7881906044140925,56.64850749421768
2016-04-28,0.5412182766702694,0.5412182766702694,0,57.66379586476428
2016-04-27,0.9170995071042088,0.9170995071042088,0,62.08859286936146
2016-04-26,-0.20577979460234294,0,0.20577979460234294,56.3276469792796
2016-04-25,-0.1479998008799458,0,0.1479998008799458,62.481962849257854
2016-04-22,0.17257082594314038,0.17257082594314038,0,58.629173759519475
2016-04-21,0.0,0,0,58.877758736629595
2016-04-20,0.5407474757142152,0.5407474757142152,0,56.303743813012325
2016-04-19,-0.095192765349828,0,0.095192765349828,68.31155492103366
2016-04-18,-0.31481657932348484,0,0.31481657932348484,65.44642620383044
2016-04-15,-0.6973836642464747,0,0.6973836642464747,61.741767392334964
2016-04-14,0.11069400327268736,0.11069400327268736,0,62.32602100268757
2016-04-13,-0.00442286428536742,0,0.00442286428536742,58.374734071340754
2016-04-12,-1.0003807677662828,0,1.0003807677662828,41.22336050642076
2016-04-11,-0.9226398601398474,0,0.9226398601398474,40.24601916733848
2016-04-08,0.2348298035340578,0.2348298035340578,0,36.83326234124934
2016-04-07,-0.26855850780834994,0,0.26855850780834994,22.452043173965365
2016-04-06,1.2110811473400338,1.2110811473400338,0,39.674830690690015
2016-04-05,-1.0807092336013895,0,1.0807092336013895,34.11352382260942
2016-04-04,1.009260039218529,1.009260039218529,0,41.47283349093215
2016-04-01,0.3248484848484788,0.3248484848484788,0,43.905474110651326
2016-03-31,-0.6765899864681894,0,0.6765899864681894,36.35473848982936
2016-03-30,0.2432853250291942,0.2432853250291942,0,38.693730476896576
2016-03-29,-0.43646247937093846,0,0.43646247937093846,38.12119064188066
2016-03-28,-0.9169231009239402,0,0.9169231009239402,37.129671100456676
2016-03-24,-0.05904349537492844,0,0.05904349537492844,36.03876686028561
2016-03-23,0.04391492713667058,0.04391492713667058,0,36.390933663796744
2016-03-22,0.6647336833174838,0.6647336833174838,0,46.114033276761816
2016-03-21,0.053773953852163284,0.053773953852163284,0,52.40476106951985
2016-03-18,-0.14169150339570627,0,0.14169150339570627,49.796092746946634
2016-03-17,0.12232116645464332,0.12232116645464332,0,52.58996171883565
2016-03-16,-0.630406098812487,0,0.630406098812487,38.44708965612615
2016-03-15,-0.5753909707878508,0,0.5753909707878508,41.74073011883687
2016-03-14,0.16322896572192339,0.16322896572192339,0,31.985551659056682
2016-03-11,0.12839506172839057,0.12839506172839057,0,29.234062988666224
2016-03-10,-1.588084434799763,0,1.588084434799763,24.614042313684934
2016-03-09,-0.08018442417560218,0,0.08018442417560218,20.98949715553057
2016-03-08,-0.4915237235429781,0,0.4915237235429781,20.78529462165139
2016-03-07,1.1038306451612891,1.1038306451612891,0,39.00093067640248
2016-03-04,-0.07976469415224915,0,0.07976469415224915,38.86319207166865
2016-03-03,-0.3267973856209156,0,0.3267973856209156,36.36158377104307
2016-03-02,-0.3879364284820451,0,0.3879364284820451,26.757392114771875
2016-03-01,-0.4472361809045157,0,0.4472361809045157,24.219344054537913
2016-02-29,-2.2967038513956948,0,2.2967038513956948,18.02198000981747
2016-02-26,0.7900392643108095,0.7900392643108095,0,24.044101612407076
2016-02-25,0.23107378573492882,0.23107378573492882,0,27.807996990626734
2016-02-24,-1.196686100030686,0,1.196686100030686,25.952549316607815
2016-02-23,-0.4554865424430618,0,0.4554865424430618,23.463131707875547
2016-02-22,1.279118136439272,1.279118136439272,0,31.65254285191567
2016-02-19,-1.4272512578293464,0,1.4272512578293464,32.13309369832295
2016-02-18,0.046875000000001776,0.046875000000001776,0,32.67832653355221
2016-02-17,0.4112655526055453,0.4112655526055453,0,36.85284822855259
2016-02-16,-1.6072169224388193,0,1.6072169224388193,25.11388918999117
2016-02-12,-1.6598166297818555,0,1.6598166297818555,21.955434967012394
2016-02-11,-2.020039650645653,0,2.020039650645653,19.34783627299531
2016-02-10,1.317948157060044,1.317948157060044,0,26.841279462516766
2016-02-09,0.08636044691531095,0.08636044691531095,0,28.07711905619432
2016-02-08,-0.005392870625044128,0,0.005392870625044128,33.20959744002272
2016-02-05,1.3644698522273764,1.3644698522273764,0,36.13632316751361
2016-02-04,1.942005852620381,1.942005852620381,0,43.50925884885858
2016-02-03,-0.15657620041752762,0,0.15657620041752762,46.793365663359154
2016-02-02,-0.5959226346053397,0,0.5959226346053397,46.32128555799893
2016-02-01,1.8352965923432947,1.8352965923432947,0,48.383598489999585
2016-01-29,0.036560805577067555,0.036560805577067555,0,53.804969399379694
2016-01-28,-2.3801264500249757,0,2.3801264500249757,45.359023842411474
2016-01-27,-0.51821691079267,0,0.51821691079267,42.39767432515863
2016-01-26,1.1003029819805417,1.1003029819805417,0,51.15471239634954
2016-01-25,-1.3459516298633032,0,1.3459516298633032,52.24655102666107
2016-01-22,1.5348539756981583,1.5348539756981583,0,64.82284215189469
2016-01-21,-2.0102876338442224,0,2.0102876338442224,52.975311317506545
2016-01-20,-0.5570732229899791,0,0.5570732229899791,50.79289446405544
2016-01-19,1.298141664422298,1.298141664422298,0,54.6398922501302
2016-01-15,-0.13293629692651282,0,0.13293629692651282,50.16210202480072
2016-01-14,2.193706405409725,2.193706405409725,0,50.96130333144475
2016-01-13,-1.6151721981972562,0,1.6151721981972562,46.62822810247421
2016-01-12,2.5582799343324587,2.5582799343324587,0,55.224114047890424
2016-01-11,-0.8007815727292158,0,0.8007815727292158,48.233916842549576
2016-01-08,-0.09734006558743002,0,0.09734006558743002,47.87082141939737
2016-01-07,1.1082569572172223,1.1082569572172223,0,58.04852665391521
2016-01-06,2.458129348106149,2.458129348106149,0,65.1296154547214
2016-01-05,1.2775374710793785,1.2775374710793785,0,65.45508885133881
2016-01-04,-0.16924910607866583,0,0.16924910607866583,69.77926733913117
2015-12-31,1.4181729904407103,1.4181729904407103,0,69.57999229332015
2015-12-30,1.0104478344042784,1.0104478344042784,0,79.79929920807605
2015-12-29,0.7138347982324085,0.7138347982324085,0,83.29289419024536
2015-12-28,-1.05593056894889,0,1.05593056894889,76.6919799888186
2015-12-24,0.2290336728229613,0.2290336728229613,0,77.62180085625356
2015-12-23,0.1653053286658904,0.1653053286658904,0,74.52917266303193
2015-12-22,-1.223182215318906,0,1.223182215318906,76.5742341733345
2015-12-21,-0.8992628992629055,0,0.8992628992629055,66.37422678903883
2015-12-18,-0.8177716070808644,0,0.8177716070808644,66.2850343645467
2015-12-17,2.4193483877676747,2.4193483877676747,0,72.16660556990699
2015-12-16,1.5473982231767975,1.5473982231767975,0,72.96005613233822
2015-12-15,-1.441715137239822,0,1.441715137239822,61.029765104583795
2015-12-14,-1.038868306615394,0,1.038868306615394,53.03035484507119
2015-12-11,-0.5031029941725259,0,0.5031029941725259,51.80796087986303
2015-12-10,1.976421636615816,1.976421636615816,0,53.596540443625464
2015-12-09,-0.2574440180696561,0,0.2574440180696561,49.34935738332958
2015-12-08,0.7835784552449638,0.7835784552449638,0,49.59538549497178
2015-12-07,0.6769783859791456,0.6769783859791456,0,55.78249284435218
2015-12-04,0.6095512359011328,0.6095512359011328,0,56.95419350291013
2015-12-03,-1.9129854021562784,0,1.9129854021562784,49.74839141019974
2015-12-02,1.4196780312241537,1.4196780312241537,0,57.856316048099316
2015-12-01,1.0315112046765729,1.0315112046765729,0,63.66659041749328
2015-11-30,-0.9445604708562791,0,0.9445604708562791,63.17923030712012
2015-11-27,0.41688629067037447,0.41688629067037447,0,58.115442300916015
2015-11-25,-0.11452567283833227,0,0.11452567283833227,52.671440955142714
2015-11-24,0.01433212306516393,0.01433212306516393,0,59.219539636392405
2015-11-23,-0.13374731311201393,0,0.13374731311201393,64.18474046361843
2015-11-20,0.11517673506481428,0.11517673506481428,0,67.68385650910704
2015-11-19,-0.3634786164880116,0,0.3634786164880116,57.62386172387179
2015-11-18,0.08631023735314236,0.08631023735314236,0,59.76833224874236
2015-11-17,-1.5618262827576253,0,1.5618262827576253,46.486219534679634
2015-11-16,0.07300335815447788,0.07300335815447788,0,42.81236685509453
2015-11-13,-1.4979087637389419,0,1.4979087637389419,32.5926144060805
2015-11-12,1.1355781574010129,1.1355781574010129,0,48.183924693059105
2015-11-11,1.4157391134544062,1.4157391134544062,0,48.16100399827982
2015-11-10,0.39472417444882696,0.39472417444882696,0,44.168356491503275
2015-11-09,-0.23014959723819994,0,0.23014959723819994,48.345867388850714
2015-11-06,0.9419454056132158,0.9419454056132158,0,51.70313123146032
2015-11-05,0.052370976956776644,0.052370976956776644,0,52.75732078701817
2015-11-04,0.09992862241256623,0.09992862241256623,0,53.256440039562484
2015-11-03,0.30424034987639587,0.30424034987639587,0,55.836614280747426
2015-11-02,-0.2890995260663572,0,0.2890995260663572,53.32321488637009
2015-10-30,-1.1692570939683349,0,1.1692570939683349,48.67921146237796
2015-10-29,0.4328379743182829,0.4328379743182829,0,50.531987836200244
2015-10-28,0.05746300818846724,0.05746300818846724,0,60.63357929757437
2015-10-27,-1.1246709739172025,0,1.1246709739172025,52.86325589092212
2015-10-26,0.19361084220716637,0.19361084220716637,0,64.12503166214816
2015-10-23,0.2463768115941985,0.2463768115941985,0,59.53668753173847
2015-10-22,-1.0842850946942317,0,1.0842850946942317,41.13448774639318
2015-10-21,-1.6613076098606632,0,1.6613076098606632,29.524704072090756
2015-10-20,0.6143175625464499,0.6143175625464499,0,35.58019919327256
2015-10-19,0.1378699098921666,0.1378699098921666,0,28.643816542175827
2015-10-16,-0.04917146088410007,0,0.04917146088410007,27.954487734890463
2015-10-15,-0.45259999016087754,0,0.45259999016087754,25.414979628214454
2015-10-14,-1.512231282431432,0,1.512231282431432,18.64218977001353
2015-10-13,0.48171007075117067,0.48171007075117067,0,23.47856738124777
2015-10-12,0.6342072409488191,0.6342072409488191,0,32.229679320222175
2015-10-09,-0.09428344581182896,0,0.09428344581182896,28.350019085041637
2015-10-08,-0.05960363582178738,0,0.05960363582178738,27.654258655652242
2015-10-07,-0.8945877441479109,0,0.8945877441479109,28.438222873988295
2015-10-06,-0.8123965698811517,0,0.8123965698811517,24.207144584957376
2015-10-05,0.343798978714802,0.343798978714802,0,25.043149386395214
2015-10-02,-1.7483750692799913,0,1.7483750692799913,23.291875391733214
2015-10-01,-1.4717948717948741,0,1.4717948717948741,23.766156236468504
2015-09-30,-0.2602404621870608,0,0.2602404621870608,17.84440151101944
2015-09-29,-1.8316547513437305,0,1.8316547513437305,13.710561783905803
2015-09-28,-0.05847331490538679,0,0.05847331490538679,13.698593488694087
2015-09-25,2.5743311525982677,2.5743311525982677,0,31.571026437246147
2015-09-24,0.02592688618097556,0.02592688618097556,0,35.956391699249664
2015-09-23,0.36288232244685775,0.36288232244685775,0,35.275244299869726
2015-09-22,0.16012396694214992,0.16012396694214992,0,32.40708511508576
2015-09-21,1.3150430612139712,1.3150430612139712,0,40.120924336074914
2015-09-18,-0.5140995622518677,0,0.5140995622518677,38.647254022381375
2015-09-17,2.189818367869021,2.189818367869021,0,51.00552692978472
2015-09-16,0.22530416061684128,0.22530416061684128,0,55.016833117205366
2015-09-15,-0.8592266959736231,0,0.8592266959736231,50.402893343812956
2015-09-14,-1.2345056938425965,0,1.2345056938425965,52.38253573775706
2015-09-11,0.37242997806235306,0.37242997806235306,0,60.29558988320246
2015-09-10,-0.4523736911660134,0,0.4523736911660134,59.344160663787
2015-09-09,-0.5412305335716121,0,0.5412305335716121,66.37895438179919
2015-09-08,1.3553057138456877,1.3553057138456877,0,70.43787328932966
2015-09-04,-2.4515017981056593,0,2.4515017981056593,49.80885411398462
2015-09-03,1.5369437665507075,1.5369437665507075,0,55.397303461528665
2015-09-02,-0.07159294298134225,0,0.07159294298134225,53.87980760724225
2015-09-01,-1.8627501151425137,0,1.8627501151425137,46.68793340979025
2015-08-31,3.076602179694414,3.076602179694414,0,52.29675583490652
2015-08-28,0.8144887944554124,0.8144887944554124,0,56.15378528970658
2015-08-27,-0.005018065034118279,0,0.005018065034118279,49.67318409449682
2015-08-26,-2.4138104079891614,0,2.4138104079891614,41.97479246335342
2015-08-25,-3.697418492234906,0,3.697418492234906,35.98401109321006
2015-08-24,1.1907940406899074,1.1907940406899074,0,42.06458465297275
2015-08-21,4.290237467018467,4.290237467018467,0,51.61757936836488
2015-08-20,3.208014977483178,3.208014977483178,0,58.35177466956831
2015-08-19,2.1326665686130286,2.1326665686130286,0,62.635508877741856
2015-08-18,0.7968509984639001,0.7968509984639001,0,61.87807265156725
2015-08-17,0.29050385751024554,0.29050385751024554,0,68.28939862002198
2015-08-14,-0.5555819364642272,0,0.5555819364642272,64.73795256265899
2015-08-13,-0.3629070766879911,0,0.3629070766879911,63.974354228245794
2015-08-12,0.12460461995590477,0.12460461995590477,0,69.36023808430485
2015-08-11,-0.11966302891058779,0,0.11966302891058779,64.23258378553516
2015-08-10,0.9105285858053415,0.9105285858053415,0,64.40349594704713
2015-08-07,-1.244241819822389,0,1.244241819822389,60.663173478991254
2015-08-06,0.19235393123347233,0.19235393123347233,0,68.71888770122409
2015-08-05,0.8255339572834167,0.8255339572834167,0,85.94972902048838
2015-08-04,-0.32846194125767497,0,0.32846194125767497,83.02671815681815
2015-08-03,0.19581621931416401,0.19581621931416401,0,76.86996486943502
2015-07-31,0.3384336717670089,0.3384336717670089,0,68.98539040826986
2015-07-30,0.15201900237529367,0.15201900237529367,0,59.443020725446324
2015-07-29,-0.023716914903701238,0,0.023716914903701238,53.48866128968025
2015-07-28,-0.6832091853679355,0,0.6832091853679355,45.22465701187051
2015-07-27,-1.2133951177566618,0,1.2133951177566618,40.79429443963056
2015-07-24,0.5851346776923487,0.5851346776923487,0,47.92231036050905
2015-07-23,1.0480769230769265,1.0480769230769265,0,54.04046875914857
2015-07-22,0.5661813683509362,0.5661813683509362,0,57.95134782569129
2015-07-21,0.17977953351941875,0.17977953351941875,0,53.89570157992242
2015-07-20,0.3966942148760346,0.3966942148760346,0,66.57976260391806
2015-07-17,-0.051742791288401924,0,0.051742791288401924,65.08109171928533
2015-07-16,-0.08471385542167659,0,0.08471385542167659,59.2083689534547
2015-07-15,-0.7960433349034374,0,0.7960433349034374,54.82437512720757
2015-07-14,0.03323678837661705,0.03323678837661705,0,53.63058824925551
2015-07-13,-0.4319346876779934,0,0.4319346876779934,47.40922446328067
2015-07-10,-1.0916718310530678,0,1.0916718310530678,39.09388767814535
2015-07-09,-1.243493348756499,0,1.243493348756499,33.42059113302312
2015-07-08,-0.1805758906783819,0,0.1805758906783819,35.546238864302836
2015-07-07,1.7063511465310754,1.7063511465310754,0,53.78339018612525
2015-07-06,-0.62493990962408,0,0.62493990962408,46.5929698222817
2015-07-02,0.2854102167182679,0.2854102167182679,0,41.284356434007684
2015-07-01,0.09165018571221732,0.09165018571221732,0,37.413630736138956
2015-06-30,-0.795180722891569,0,0.795180722891569,32.16609541977327
2015-06-29,-0.20888996842361274,0,0.20888996842361274,27.756284088203074
2015-06-26,2.1419530717554305,2.1419530717554305,0,43.830606252573176
2015-06-25,0.019063959584415435,0.019063959584415435,0,44.32632385401146
2015-06-24,0.30496521490516837,0.30496521490516837,0,50.03244905987631
2015-06-23,0.7315914489311126,0.7315914489311126,0,53.572338952744126
2015-06-22,-0.07074136955291722,0,0.07074136955291722,55.60993334143313
2015-06-19,-0.5096984284298383,0,0.5096984284298383,59.24036515486082
2015-06-18,0.9344907736824624,0.9344907736824624,0,72.22676603619672
2015-06-17,-1.029232070683334,0,1.029232070683334,65.74330254868312
2015-06-16,-0.16145116102379192,0,0.16145116102379192,57.01071560874493
2015-06-15,-0.542211652794286,0,0.542211652794286,57.613332218562604
2015-06-12,0.4303954856295621,0.4303954856295621,0,58.384257447993896
2015-06-11,0.7713918384838839,0.7713918384838839,0,61.65406587910516
2015-06-10,-0.3213155034730458,0,0.3213155034730458,65.22680858777571
2015-06-09,-1.1851149561507468,0,1.1851149561507468,58.27042829955854
2015-06-08,0.01439194051331309,0.01439194051331309,0,45.63428972452127
2015-06-05,0.6187643898695417,0.6187643898695417,0,49.90968731709991
2015-06-04,0.17123516232063074,0.17123516232063074,0,49.01559271748859
2015-06-03,0.8522375757391121,0.8522375757391121,0,49.823596926403845
2015-06-02,-0.2642506606266392,0,0.2642506606266392,48.58850793991557
